"model_id","base_id","inference_type","confidence","inference_source"
"Mungert/Phi-4-mini-instruct.gguf","microsoft/Phi-4-mini-instruct","finetune","high","explicit_card | cardData.base_model=microsoft/Phi-4-mini-instruct; cardData.base_model_relation=finetune"
"Mungert/Phi-4-mini-instruct.gguf","microsoft/Phi-4-mini-instruct","quantized","high","explicit_tag | base_model:quantized:microsoft/Phi-4-mini-instruct"
"mradermacher/Qwen3-RA-TNG-1500-6B-GGUF","mradermacher/Qwen3-RA-TNG-1500-6B-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-RA-TNG-1500-6B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-RA-TNG-1500-6B' -> 'mradermacher/Qwen3-RA-TNG-1500-6B-i1-GGUF'"
"embedme/lightonai-lateon-code-edge-f16","lightonai/LateOn-Code-edge","finetune","high","explicit_card | cardData.base_model=lightonai/LateOn-Code-edge; cardData.base_model_relation=finetune"
"embedme/lightonai-lateon-code-edge-f16","lightonai/LateOn-Code-edge","quantized","high","explicit_tag | base_model:quantized:lightonai/LateOn-Code-edge"
"Mungert/OpenReasoning-Nemotron-32B-GGUF","Qwen/Qwen2.5-32B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-32B-Instruct; cardData.base_model_relation=finetune"
"Mungert/OpenReasoning-Nemotron-32B-GGUF","Qwen/Qwen2.5-32B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-32B-Instruct"
"eternalGenius/rubert_level1_v2","DeepPavlov/rubert-base-cased","finetune","high","explicit_card | cardData.base_model=DeepPavlov/rubert-base-cased; cardData.base_model_relation=finetune"
"jncraton/Qwen3-0.6B-ct2-int8","Qwen/Qwen3-0.6B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B-Base; cardData.base_model_relation=finetune"
"Chrisfrancisque/llama2-7b-coding-fft","meta-llama/Llama-2-7b-hf","finetune","high","explicit_card | cardData.base_model=meta-llama/Llama-2-7b-hf; cardData.base_model_relation=finetune"
"InfiniAILab/CodeDrafter-500M","facebook/layerskip-llama3.2-1B","finetune","high","explicit_card | cardData.base_model=facebook/layerskip-llama3.2-1B; cardData.base_model_relation=finetune"
"kxdw2580/DeepSeek-R1-0528-Qwen3-8B-catgirl-v2.5-gptqv2-8bit","kxdw2580/DeepSeek-R1-0528-Qwen3-8B-catgirl-v2.5","finetune","high","explicit_card | cardData.base_model=kxdw2580/DeepSeek-R1-0528-Qwen3-8B-catgirl-v2.5; cardData.base_model_relation=finetune"
"kxdw2580/DeepSeek-R1-0528-Qwen3-8B-catgirl-v2.5-gptqv2-8bit","kxdw2580/DeepSeek-R1-0528-Qwen3-8B-catgirl-v2.5","quantized","high","explicit_tag | base_model:quantized:kxdw2580/DeepSeek-R1-0528-Qwen3-8B-catgirl-v2.5"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","janhq/Jan-v1-2509","finetune","high","explicit_card | cardData.base_model=janhq/Jan-v1-2509; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","Gen-Verse/Qwen3-4B-RA-SFT","finetune","high","explicit_card | cardData.base_model=Gen-Verse/Qwen3-4B-RA-SFT; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Instruct-2507-Polaris-Alpha-Distill","finetune","high","explicit_card | cardData.base_model=TeichAI/Qwen3-4B-Instruct-2507-Polaris-Alpha-Distill; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-Gemini-2.5-Flash-Distill","finetune","high","explicit_card | cardData.base_model=TeichAI/Qwen3-4B-Thinking-2507-Gemini-2.5-Flash-Distill; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Instruct-2507-Claude-Haiku-4.5-Distill","finetune","high","explicit_card | cardData.base_model=TeichAI/Qwen3-4B-Instruct-2507-Claude-Haiku-4.5-Distill; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Instruct-2507-Gemini-3-Pro-Preview-Distill","finetune","high","explicit_card | cardData.base_model=TeichAI/Qwen3-4B-Instruct-2507-Gemini-3-Pro-Preview-Distill; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-Claude-Haiku-4.5-High-Reasoning-Distill","finetune","high","explicit_card | cardData.base_model=TeichAI/Qwen3-4B-Thinking-2507-Claude-Haiku-4.5-High-Reasoning-Distill; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-MiniMax-M2.1-Distill","finetune","high","explicit_card | cardData.base_model=TeichAI/Qwen3-4B-Thinking-2507-MiniMax-M2.1-Distill; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-MiMo-V2-Flash-Distill","finetune","high","explicit_card | cardData.base_model=TeichAI/Qwen3-4B-Thinking-2507-MiMo-V2-Flash-Distill; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","nightmedia/Qwen3-4B-Agent-Claude-Gemini-heretic-qx86-hi-mlx","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-4B-Agent-Claude-Gemini-heretic; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-4B-Agent-Claude-Gemini-heretic' -> 'nightmedia/Qwen3-4B-Agent-Claude-Gemini-heretic-qx86-hi-mlx'"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","DavidAU/Qwen3-4B-Apollo-V0.1-4B-Thinking-Heretic-Abliterated","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-4B-Apollo-V0.1-4B-Thinking-Heretic-Abliterated; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","nightmedia/Qwen3-4B-Element8-Eva","finetune","high","explicit_card | cardData.base_model=nightmedia/Qwen3-4B-Element8-Eva; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","nightmedia/Qwen3-4B-Element8","finetune","high","explicit_card | cardData.base_model=nightmedia/Qwen3-4B-Element8; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","FutureMa/Eva-4B","finetune","high","explicit_card | cardData.base_model=FutureMa/Eva-4B; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","Gen-Verse/Qwen3-4B-RA-SFT","merge","high","explicit_tag | base_model:merge:Gen-Verse/Qwen3-4B-RA-SFT"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","janhq/Jan-v1-2509","merge","high","explicit_tag | base_model:merge:janhq/Jan-v1-2509"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Instruct-2507-Polaris-Alpha-Distill","merge","high","explicit_tag | base_model:merge:TeichAI/Qwen3-4B-Instruct-2507-Polaris-Alpha-Distill"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-Gemini-2.5-Flash-Distill","merge","high","explicit_tag | base_model:merge:TeichAI/Qwen3-4B-Thinking-2507-Gemini-2.5-Flash-Distill"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","DavidAU/Qwen3-4B-Apollo-V0.1-4B-Thinking-Heretic-Abliterated","merge","high","explicit_tag | base_model:merge:DavidAU/Qwen3-4B-Apollo-V0.1-4B-Thinking-Heretic-Abliterated"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-Claude-Haiku-4.5-High-Reasoning-Distill","merge","high","explicit_tag | base_model:merge:TeichAI/Qwen3-4B-Thinking-2507-Claude-Haiku-4.5-High-Reasoning-Distill"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Instruct-2507-Claude-Haiku-4.5-Distill","merge","high","explicit_tag | base_model:merge:TeichAI/Qwen3-4B-Instruct-2507-Claude-Haiku-4.5-Distill"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Instruct-2507-Gemini-3-Pro-Preview-Distill","merge","high","explicit_tag | base_model:merge:TeichAI/Qwen3-4B-Instruct-2507-Gemini-3-Pro-Preview-Distill"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-MiMo-V2-Flash-Distill","merge","high","explicit_tag | base_model:merge:TeichAI/Qwen3-4B-Thinking-2507-MiMo-V2-Flash-Distill"
"nightmedia/Qwen3-4B-Element8-Eva-Heretic-mxfp4-mlx","TeichAI/Qwen3-4B-Thinking-2507-MiniMax-M2.1-Distill","merge","high","explicit_tag | base_model:merge:TeichAI/Qwen3-4B-Thinking-2507-MiniMax-M2.1-Distill"
"ThomasBaruzier/Qwen2.5-Coder-1.5B-Instruct-GGUF","Qwen/Qwen2.5-Coder-1.5B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Coder-1.5B; cardData.base_model_relation=finetune"
"ThomasBaruzier/Qwen2.5-Coder-1.5B-Instruct-GGUF","Qwen/Qwen2.5-Coder-1.5B","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-Coder-1.5B"
"mikasenghaas/Qwen3-30B-A3B-SFT-Math-Code-1M-300","Qwen/Qwen3-30B-A3B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-30B-A3B-Base; cardData.base_model_relation=finetune"
"TheBloke/deepseek-coder-33B-instruct-GPTQ","deepseek-ai/deepseek-coder-33b-instruct","finetune","high","explicit_card | cardData.base_model=deepseek-ai/deepseek-coder-33b-instruct; cardData.base_model_relation=finetune"
"TheBloke/deepseek-coder-33B-instruct-GPTQ","deepseek-ai/deepseek-coder-33b-instruct","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/deepseek-coder-33b-instruct"
"Prince-1/Seed-Coder-8B-Instruct","unsloth/Seed-Coder-8B-Instruct","quantized","high","explicit_card | cardData.base_model=unsloth/Seed-Coder-8B-Instruct; cardData.base_model_relation=quantized"
"DavidAU/Qwen3-VLTO-TNG-12B-256k-NEO-imatrix-GGUF","Qwen/Qwen3-0.6B","finetune","high","openai_inference"
"unsloth/JanusCoder-8B","internlm/JanusCoder-8B","finetune","high","explicit_card | cardData.base_model=internlm/JanusCoder-8B; cardData.base_model_relation=finetune"
"Qwen/Qwen3-4B-Instruct-2507-FP8","Qwen/Qwen3-4B-Instruct-2507","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-4B-Instruct-2507; cardData.base_model_relation=finetune"
"Qwen/Qwen3-4B-Instruct-2507-FP8","Qwen/Qwen3-4B-Instruct-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-4B-Instruct-2507"
"eternalGenius/rubert_level2_v2","DeepPavlov/rubert-base-cased","finetune","high","explicit_card | cardData.base_model=DeepPavlov/rubert-base-cased; cardData.base_model_relation=finetune"
"bmaxin/8.1-python","meta-llama/Llama-3.1-8B-Instruct","finetune","high","explicit_card | cardData.base_model=meta-llama/Meta-Llama-3.1-8B-Instruct; cardData.base_model_relation=finetune | validated: base_id 'meta-llama/Meta-Llama-3.1-8B-Instruct' -> 'meta-llama/Llama-3.1-8B-Instruct'"
"bmaxin/8.1-python","meta-llama/Llama-3.1-8B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-8B-Instruct"
"Canstralian/text2shellcommands","WhiteRabbitNeo/WhiteRabbitNeo-13B-v1","finetune","high","explicit_card | cardData.base_model=WhiteRabbitNeo/WhiteRabbitNeo-13B-v1; cardData.base_model_relation=finetune"
"Canstralian/text2shellcommands","replit/replit-code-v1_5-3b","finetune","high","explicit_card | cardData.base_model=replit/replit-code-v1_5-3b; cardData.base_model_relation=finetune"
"TheBloke/deepseek-coder-1.3b-base-AWQ","deepseek-ai/deepseek-coder-1.3b-base","finetune","high","explicit_card | cardData.base_model=deepseek-ai/deepseek-coder-1.3b-base; cardData.base_model_relation=finetune"
"TheBloke/deepseek-coder-1.3b-base-AWQ","deepseek-ai/deepseek-coder-1.3b-base","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/deepseek-coder-1.3b-base"
"JetBrains-Research/OpenCoder-1.5B-Path-Distance-Py","infly/OpenCoder-1.5B-Base","finetune","high","explicit_card | cardData.base_model=infly/OpenCoder-1.5B-Base; cardData.base_model_relation=finetune"
"rombodawg/rombos_Adapter_For_Replete-Coder-Qwen2-1.5b","Qwen/Qwen2-1.5B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2-1.5B; cardData.base_model_relation=finetune"
"ArliAI/GLM-4.6-REAP-218B-A32B-Derestricted","cerebras/GLM-4.6-REAP-218B-A32B","finetune","high","explicit_card | cardData.base_model=cerebras/GLM-4.6-REAP-218B-A32B; cardData.base_model_relation=finetune"
"L33tcode/llama-3-8b-CEH-hf","dphn/dolphin-2.9-llama3-8b","finetune","high","explicit_card | cardData.base_model=cognitivecomputations/dolphin-2.9-llama3-8b; cardData.base_model_relation=finetune | validated: base_id 'cognitivecomputations/dolphin-2.9-llama3-8b' -> 'dphn/dolphin-2.9-llama3-8b'"
"ibm-granite/granite-20b-code-instruct-8k","ibm-granite/granite-20b-code-base-8k","finetune","high","explicit_card | cardData.base_model=ibm-granite/granite-20b-code-base-8k; cardData.base_model_relation=finetune"
"LiteLLMs/starcoder2-15b-instruct-v0.1-GGUF","bigcode/starcoder2-15b","finetune","high","explicit_card | cardData.base_model=bigcode/starcoder2-15b; cardData.base_model_relation=finetune"
"LiteLLMs/starcoder2-15b-instruct-v0.1-GGUF","bigcode/starcoder2-15b","quantized","high","explicit_tag | base_model:quantized:bigcode/starcoder2-15b"
"prithivMLmods/Viper-Coder-v1.1","prithivMLmods/Viper-Coder-v0.1","finetune","high","explicit_card | cardData.base_model=prithivMLmods/Viper-Coder-v0.1; cardData.base_model_relation=finetune"
"RedHatAI/granite-3.1-8b-base-quantized.w8a8","ibm-granite/granite-3.1-8b-base","finetune","high","explicit_card | cardData.base_model=ibm-granite/granite-3.1-8b-base; cardData.base_model_relation=finetune"
"RedHatAI/granite-3.1-8b-base-quantized.w8a8","ibm-granite/granite-3.1-8b-base","quantized","high","explicit_tag | base_model:quantized:ibm-granite/granite-3.1-8b-base"
"QuantFactory/Qwen2.5-Coder-1.5B-GGUF","Qwen/Qwen2.5-1.5B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-1.5B; cardData.base_model_relation=finetune"
"QuantFactory/Qwen2.5-Coder-1.5B-GGUF","Qwen/Qwen2.5-1.5B","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-1.5B"
"muralcode/Zion-Aritha-AI-AR2-7B","unsloth/Qwen2.5-Coder-7B-bnb-4bit","finetune","high","explicit_card | cardData.base_model=unsloth/qwen2.5-coder-7b-bnb-4bit; cardData.base_model_relation=finetune | validated: base_id 'unsloth/qwen2.5-coder-7b-bnb-4bit' -> 'unsloth/Qwen2.5-Coder-7B-bnb-4bit'"
"prithivMLmods/Primal-Mini-3B-Exp","prithivMLmods/Bellatrix-Tiny-3B-R1","finetune","high","explicit_card | cardData.base_model=prithivMLmods/Bellatrix-Tiny-3B-R1; cardData.base_model_relation=finetune"
"TheBloke/Lemur-70B-Chat-v1-GGML","OpenLemur/lemur-70b-chat-v1","finetune","high","explicit_card | cardData.base_model=OpenLemur/lemur-70b-chat-v1; cardData.base_model_relation=finetune"
"Mungert/VibeThinker-1.5B-GGUF","Qwen/Qwen2.5-Math-1.5B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Math-1.5B; cardData.base_model_relation=finetune"
"Mungert/VibeThinker-1.5B-GGUF","Qwen/Qwen2.5-Math-1.5B","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-Math-1.5B"
"SandLogicTechnologies/Llama-3-Sqlcoder-8B-GGUF","defog/llama-3-sqlcoder-8b","finetune","high","explicit_card | cardData.base_model=defog/llama-3-sqlcoder-8b; cardData.base_model_relation=finetune"
"SandLogicTechnologies/Llama-3-Sqlcoder-8B-GGUF","defog/llama-3-sqlcoder-8b","quantized","high","explicit_tag | base_model:quantized:defog/llama-3-sqlcoder-8b"
"professorf/phi-1-gguf","microsoft/phi-1","finetune","high","explicit_card | cardData.base_model=microsoft/phi-1; cardData.base_model_relation=finetune"
"professorf/phi-1-gguf","microsoft/phi-1","quantized","high","explicit_tag | base_model:quantized:microsoft/phi-1"
"doss1232/Offensive-Qwen-2.5-Coder-7B-GGUF","unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit","finetune","high","explicit_card | cardData.base_model=unsloth/qwen2.5-coder-7b-instruct-bnb-4bit; cardData.base_model_relation=finetune | validated: base_id 'unsloth/qwen2.5-coder-7b-instruct-bnb-4bit' -> 'unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit'"
"carsenk/llama3.2_1b_2025_uncensored","meta-llama/Llama-3.2-1B","finetune","high","explicit_card | cardData.base_model=meta-llama/Llama-3.2-1b; cardData.base_model_relation=finetune | validated: base_id 'meta-llama/Llama-3.2-1b' -> 'meta-llama/Llama-3.2-1B'"
"prithivMLmods/Nous-1-2B-f32-GGUF","Loom-Labs/Apollo-1-2B","finetune","high","explicit_card | cardData.base_model=apexion-ai/Nous-1-2B; cardData.base_model_relation=finetune | validated: base_id 'apexion-ai/Nous-1-2B' -> 'Loom-Labs/Apollo-1-2B'"
"prithivMLmods/Nous-1-2B-f32-GGUF","Loom-Labs/Apollo-1-2B","quantized","high","explicit_tag | base_model:quantized:Loom-Labs/Apollo-1-2B"
"mtzevelekos/granite-4.0-h-350m","ibm-granite/granite-4.0-h-350m-base","finetune","high","explicit_card | cardData.base_model=ibm-granite/granite-4.0-h-350m-base; cardData.base_model_relation=finetune"
"JetBrains-Research/OpenCoder-1.5B-Random-Tokens","infly/OpenCoder-1.5B-Base","finetune","high","explicit_card | cardData.base_model=infly/OpenCoder-1.5B-Base; cardData.base_model_relation=finetune"
"Virende/Solphie-1S-Foundation-Model","meta-llama/Llama-3.1-8B-Instruct","finetune","high","explicit_card | cardData.base_model=meta-llama/Llama-3.1-8B-Instruct; cardData.base_model_relation=finetune"
"unsloth/Qwen3-VL-30B-A3B-Thinking","Qwen/Qwen3-VL-30B-A3B-Thinking","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-VL-30B-A3B-Thinking; cardData.base_model_relation=finetune"
"ZeroXClem/Qwen2.5-7B-DistilPrism","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","finetune","high","explicit_card | cardData.base_model=deepseek-ai/DeepSeek-R1-Distill-Qwen-7B; cardData.base_model_relation=finetune"
"ZeroXClem/Qwen2.5-7B-DistilPrism","huihui-ai/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2","finetune","high","explicit_card | cardData.base_model=huihui-ai/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2; cardData.base_model_relation=finetune"
"ZeroXClem/Qwen2.5-7B-DistilPrism","mobiuslabsgmbh/DeepSeek-R1-ReDistill-Qwen-7B-v1.1","finetune","high","explicit_card | cardData.base_model=mobiuslabsgmbh/DeepSeek-R1-ReDistill-Qwen-7B-v1.1; cardData.base_model_relation=finetune"
"ZeroXClem/Qwen2.5-7B-DistilPrism","mradermacher/DSR1-Distill-Qwen-7B-RP-GGUF","finetune","high","explicit_card | cardData.base_model=Triangle104/DSR1-Distill-Qwen-7B-RP; cardData.base_model_relation=finetune | validated: base_id 'Triangle104/DSR1-Distill-Qwen-7B-RP' -> 'mradermacher/DSR1-Distill-Qwen-7B-RP-GGUF'"
"ZeroXClem/Qwen2.5-7B-DistilPrism","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","merge","high","explicit_tag | base_model:merge:deepseek-ai/DeepSeek-R1-Distill-Qwen-7B"
"ZeroXClem/Qwen2.5-7B-DistilPrism","mobiuslabsgmbh/DeepSeek-R1-ReDistill-Qwen-7B-v1.1","merge","high","explicit_tag | base_model:merge:mobiuslabsgmbh/DeepSeek-R1-ReDistill-Qwen-7B-v1.1"
"ZeroXClem/Qwen2.5-7B-DistilPrism","huihui-ai/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2","merge","high","explicit_tag | base_model:merge:huihui-ai/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2"
"mradermacher/Gemma-3-Darkest-Horror-4B-it-GGUF","mradermacher/Gemma-3-Darkest-Horror-4B-it-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Gemma-3-Darkest-Horror-4B-it; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Gemma-3-Darkest-Horror-4B-it' -> 'mradermacher/Gemma-3-Darkest-Horror-4B-it-i1-GGUF'"
"mradermacher/Qwen3-Almost-Human-6B-III-240-OMEGA2-GGUF","mradermacher/Qwen3-Almost-Human-6B-III-240-OMEGA2-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-Almost-Human-6B-III-240-OMEGA2; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-Almost-Human-6B-III-240-OMEGA2' -> 'mradermacher/Qwen3-Almost-Human-6B-III-240-OMEGA2-i1-GGUF'"
"antericinfo/qwen3mini","Qwen/Qwen3-0.6B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B-Base; cardData.base_model_relation=finetune"
"empirischtech/Llama-3.1-8B-Instruct-MedQA","meta-llama/Llama-3.1-8B-Instruct","finetune","high","explicit_card | cardData.base_model=meta-llama/Llama-3.1-8B-Instruct; cardData.base_model_relation=finetune"
"lmstudio-community/starcoder2-15b-instruct-v0.1-GGUF","bigcode/starcoder2-15b","finetune","high","explicit_card | cardData.base_model=bigcode/starcoder2-15b; cardData.base_model_relation=finetune"
"lmstudio-community/starcoder2-15b-instruct-v0.1-GGUF","bigcode/starcoder2-15b","quantized","high","explicit_tag | base_model:quantized:bigcode/starcoder2-15b"
"radoni/penetrationtestingautomation-ai","microsoft/Phi-3-mini-4k-instruct","finetune","high","explicit_card | cardData.base_model=microsoft/Phi-3-mini-4k-instruct; cardData.base_model_relation=finetune"
"mradermacher/Qwen3-MOE-6x1.7B-10.2B-Shining-Madness-Uncensored-GGUF","DavidAU/Qwen3-MOE-6x1.7B-10.2B-Shining-Madness-Uncensored","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-MOE-6x1.7B-10.2B-Shining-Madness-Uncensored; cardData.base_model_relation=finetune"
"mradermacher/Qwen3-MOE-6x1.7B-10.2B-Shining-Madness-Uncensored-GGUF","DavidAU/Qwen3-MOE-6x1.7B-10.2B-Shining-Madness-Uncensored","quantized","high","explicit_tag | base_model:quantized:DavidAU/Qwen3-MOE-6x1.7B-10.2B-Shining-Madness-Uncensored"
"JetBrains-Research/OpenCoder-1.5B-Leak","infly/OpenCoder-1.5B-Base","finetune","high","explicit_card | cardData.base_model=infly/OpenCoder-1.5B-Base; cardData.base_model_relation=finetune"
"mradermacher/Qwen3-ST-The-Next-Generation-v1-256k-ctx-6B-GGUF","mradermacher/Qwen3-ST-The-Next-Generation-II-E32-v1-256k-ctx-6B-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-ST-The-Next-Generation-v1-256k-ctx-6B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-ST-The-Next-Generation-v1-256k-ctx-6B' -> 'mradermacher/Qwen3-ST-The-Next-Generation-II-E32-v1-256k-ctx-6B-GGUF'"
"Mungert/Seed-Coder-8B-Reasoning-GGUF","ByteDance-Seed/Seed-Coder-8B-Base","finetune","high","explicit_card | cardData.base_model=ByteDance-Seed/Seed-Coder-8B-Base; cardData.base_model_relation=finetune"
"Mungert/Seed-Coder-8B-Reasoning-GGUF","ByteDance-Seed/Seed-Coder-8B-Base","quantized","high","explicit_tag | base_model:quantized:ByteDance-Seed/Seed-Coder-8B-Base"
"Astardeeppro/OpenAi-GPT-oss-20b-abliterated-uncensored-NEO-Imatrix-gguf","huihui-ai/Huihui-gpt-oss-20b-BF16-abliterated","finetune","high","explicit_card | cardData.base_model=huihui-ai/Huihui-gpt-oss-20b-BF16-abliterated; cardData.base_model_relation=finetune"
"Astardeeppro/OpenAi-GPT-oss-20b-abliterated-uncensored-NEO-Imatrix-gguf","huihui-ai/Huihui-gpt-oss-20b-BF16-abliterated","quantized","high","explicit_tag | base_model:quantized:huihui-ai/Huihui-gpt-oss-20b-BF16-abliterated"
"avtc/GLM-4.6-REAP-268B-A32B-GPTQMODEL-W4A16-V2","cerebras/GLM-4.6-REAP-268B-A32B","finetune","high","explicit_card | cardData.base_model=cerebras/GLM-4.6-REAP-268B-A32B; cardData.base_model_relation=finetune"
"avtc/GLM-4.6-REAP-268B-A32B-GPTQMODEL-W4A16-V2","zai-org/GLM-4.6","finetune","high","explicit_card | cardData.base_model=zai-org/GLM-4.6; cardData.base_model_relation=finetune"
"avtc/GLM-4.6-REAP-268B-A32B-GPTQMODEL-W4A16-V2","cerebras/GLM-4.6-REAP-268B-A32B","quantized","high","explicit_tag | base_model:quantized:cerebras/GLM-4.6-REAP-268B-A32B"
"second-state/CodeLlama-13B-Instruct-GGUF","codellama/CodeLlama-13b-Instruct-hf","finetune","high","explicit_card | cardData.base_model=codellama/CodeLlama-13b-Instruct-hf; cardData.base_model_relation=finetune"
"second-state/CodeLlama-13B-Instruct-GGUF","codellama/CodeLlama-13b-Instruct-hf","quantized","high","explicit_tag | base_model:quantized:codellama/CodeLlama-13b-Instruct-hf"
"mradermacher/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House-i1-GGUF","mradermacher/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House-V1.1-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House' -> 'mradermacher/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House-V1.1-i1-GGUF'"
"ValiantLabs/Ministral-3-3B-Reasoning-2512-Esper3.1","mistralai/Ministral-3-3B-Reasoning-2512","finetune","high","explicit_card | cardData.base_model=mistralai/Ministral-3-3B-Reasoning-2512; cardData.base_model_relation=finetune"
"QuantTrio/GLM-4.6-AWQ","zai-org/GLM-4.6","quantized","high","explicit_card | cardData.base_model=zai-org/GLM-4.6; cardData.base_model_relation=quantized"
