"model_id","SE_task_name","SE_activity","se_reasoning"
"Soumyajit-7/code-reasoning-deepseek-8b","Coding","Software implementation","The model card explicitly states that this model is designed for advanced algorithmic problem solving and code generation with detailed reasoning. It also includes example usage demonstrating code generation based on problem descriptions, which directly supports software implementation."
"Soumyajit-7/code-reasoning-deepseek-8b","Code generation","Software implementation","The model is designed for code generation with detailed reasoning and excels at algorithm design, code optimization, and problem analysis, which directly support the implementation of software solutions through code. It was also trained on programming problems and is intended to solve coding problems with detailed reasoning."
"john-b-yang/SWE-agent-LM-7B","Coding","Software implementation","The model card explicitly states that the model demonstrates significant improvements in code generation and code fixing. The abstract confirms that the model demonstrates impressive code generation capabilities, achieving state-of-the-art performance across more than 10 benchmarks, including code generation, completion, reasoning, and repair."
"john-b-yang/SWE-agent-LM-7B","Code generation","Software implementation","The model card explicitly mentions improvements in code generation, code reasoning and code fixing, and its applicability to code agents. The abstract also mentions code generation, completion, reasoning, and repair, achieving SOTA performance. These capabilities are highly relevant to the Software Implementation phase."
"Bifrost-AI/Phi-4-Mirage-sol-Reasoning-3.8B","Coding","Software implementation","The model card explicitly states that this model is optimized for ""blockchain coding and smart contract development on the Solana ecosystem,"" and covers ""on-chain smart contract development in Rust"". This falls under the definition of implementing a software solution through code, thus relevant to SI. The model card also mentions support for typescript, which is relevant to client side integration, and is also relevant to SI."
"Naqeeb-2424/Celestia-1.0","Code generation","Software implementation","The model card explicitly mentions that the model supports code, and fine-tuning for ""code generation""."
"pranavkarra/dense-5l-arxiv-code-simplestories","Code generation","Software implementation","The model card explicitly mentions code generation as a suitable task and provides an example of generating Python code from a prompt, directly supporting software implementation."
"pranavkarra/dense-5l-arxiv-code-simplestories","Code completion","Software implementation","The model card explicitly mentions ""Code completion and synthesis"" as a suitable task. The ""Code Generation"" section under Usage also shows that the model can generate Python code from a prompt, thereby supporting the implementation of software through code."
"float-trip/qwen-3-14b-drama","Code generation","Software implementation","The model card and abstract explicitly mention that Qwen3 achieves state-of-the-art results across diverse benchmarks, including tasks in code generation. This falls under the criteria for SI."
"lamia2462/CodeLlama","Code completion","Software implementation","The model card explicitly states that Code Llama is designed for ""general code synthesis and understanding"". It also mentions capabilities like code completion and infilling. Furthermore, the abstract confirms its utility for ""programming tasks"". These capabilities directly support the process of implementing software solutions through code."
"mradermacher/Qwen2.5-3X7B-CoderInstruct-OlympicCoder-MS-Next-Coder-25B-v1-128k-ctx-GGUF","Coding","Software implementation","The model card explicitly mentions support for ""programming"", ""code generation"", ""code"", ""coding"", and ""coder,"" all of which directly relate to the implementation of software solutions through code during the Software Implementation phase."
"mradermacher/Qwen2.5-3X7B-CoderInstruct-OlympicCoder-MS-Next-Coder-25B-v1-128k-ctx-GGUF","Code generation","Software implementation","The model card explicitly mentions the model supports 'programming', 'code generation', 'code', 'coding', and 'coder', all of which fall under the umbrella of software implementation tasks."
"Bifrost-AI/NextCoder-Mirage-sol-7B-GGUF","Coding","Software implementation","The model is specifically fine-tuned for blockchain coding and smart contract development on the Solana ecosystem, which directly supports the process of implementing software solutions. It covers Rust and TypeScript, used in on-chain and client-side development, and addresses security, state management, transaction composition and other relevant aspects of implementation."
"Bifrost-AI/NextCoder-Mirage-sol-7B","Coding","Software implementation","The model is fine-tuned for blockchain coding and smart contract development on the Solana ecosystem, specifically using Rust and Typescript. This falls under the category of code generation and is therefore relevant to software implementation."
"pranavkarra/moe-5l-total-arxiv-code-simplestories","Code generation","Software implementation","The model card explicitly mentions code generation capabilities, providing an example of generating complex code with explanations. This aligns with the criteria for applicability to the Software Implementation phase."
"pranavkarra/moe-5l-active-arxiv-code-simplestories","Code generation","Software implementation","The model card explicitly mentions that the model was trained on code repositories and is capable of code generation and provides examples of its use for code generation with expert routing and even includes an analysis of expert usage in different domains, including code."
"tobiassmann/Qwen3-32B-W8A8","Code generation","Software implementation","The model card and abstract explicitly mention ""code generation"" as a capability of the Qwen3 models, which falls under the criteria for Software Implementation."
"alphaoumardev/Llama3-8B-noryu","Code generation","Software implementation","The model card explicitly states that the model excels at ""coding"" and ""code generation"". This aligns directly with the activities performed during the Software Implementation phase, where developers write code to implement the software design."
"FBogaerts/Qwen-3-1.7B-Finetuned","Construction for security","Software quality assurance","The model injects vulnerabilities into code, which is directly applicable to security testing and SAST/DAST tool evaluation within the SQA phase. The model description explicitly states its intended use for automated security testing."
"mradermacher/Mistral-2x24B-MOE-Power-Devstral-Magistral-Reasoning-Ultimate-44B-i1-GGUF","Coding","Software implementation","The model card contains the tags ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"", which directly relate to software implementation tasks as per the criteria."
"mradermacher/Mistral-2x24B-MOE-Power-Devstral-Magistral-Reasoning-Ultimate-44B-i1-GGUF","Code generation","Software implementation","The model card explicitly mentions ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"" in its tags, indicating its relevance to software implementation."
"mradermacher/Mistral-2x24B-MOE-Power-Devstral-Magistral-Reasoning-Ultimate-44B-GGUF","Coding","Software implementation","The model card explicitly mentions tags like ""programming,"" ""code generation,"" ""coding,"" and ""coder,"" which fall under the umbrella of implementing a software solution through code, thereby indicating relevance to the Software Implementation phase."
"mradermacher/Mistral-2x24B-MOE-Power-Devstral-Magistral-Reasoning-Ultimate-44B-GGUF","Code generation","Software implementation","The model card explicitly mentions ""programming,"" ""code generation,"" ""coding,"" and ""coder"" as tags, indicating applicability to the Software Implementation phase."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-V2-i1-GGUF","Coding","Software implementation","The model card includes the tags ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"", which directly align with the criteria for supporting the software implementation phase."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-V2-i1-GGUF","Code generation","Software implementation","The model card explicitly mentions ""code generation"", ""code"", ""programming"", and ""coding"", which directly aligns with the activities performed during the Software Implementation phase."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-GGUF","Coding","Software implementation","The model card explicitly lists ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"" in its tags, which clearly indicate its applicability to software implementation."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-GGUF","Code generation","Software implementation","The model card contains tags like ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" indicating its relevance to software implementation through code-related tasks."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-V2-GGUF","Coding","Software implementation","The model card contains explicit tags such as ""code generation"", ""coding"", and ""coder"", all of which are relevant to software implementation as per the criteria."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-V2-GGUF","Code generation","Software implementation","The model card explicitly mentions ""code generation,"" ""coding,"" and ""coder,"" which directly supports the implementation of software solutions through code."
"Mungert/AceInstruct-1.5B-GGUF","Coding","Software implementation","The model card explicitly mentions that AceInstruct is an SFT model for coding tasks. It also has benchmark results for coding tasks, specifically HumanEval and MBPP, which are common coding benchmarks. The model card showcases how to use it, further supporting its use for coding tasks."
"AventIQ-AI/Code-Generation-Multi-Model","Code generation","Software implementation","The model generates code snippets based on natural language or function signature prompts, which directly supports the implementation of software solutions."
"tachyphylaxis/Qwen3-235B-A22B-INT4MIX","Code generation","Software implementation","The model card mentions several capabilities relevant to the Software Implementation phase. Specifically, it highlights significant enhancement in reasoning capabilities on code generation and supports tool calling capabilities that can be integrated with external tools. Also, the model allows switching between thinking mode and non-thinking mode for coding."
"mradermacher/Qwen3-Zero-Coder-Reasoning-0.8B-i1-GGUF","Coding","Software implementation","The model card explicitly lists ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"" as tags, indicating its relevance to software implementation."
"mradermacher/Qwen3-Zero-Coder-Reasoning-0.8B-i1-GGUF","Code generation","Software implementation","The model card explicitly lists ""code generation"" and ""coding"" in the tags, indicating applicability to the Software Implementation phase."
"mradermacher/Qwen3-Zero-Coder-Reasoning-0.8B-GGUF","Coding","Software implementation","The model card explicitly mentions capabilities relevant to the software implementation phase, such as code generation and coding."
"mradermacher/Qwen3-Zero-Coder-Reasoning-0.8B-GGUF","Code generation","Software implementation","The model card explicitly mentions tags such as ""programming"", ""code generation"", ""code"", ""coding"", ""coder"", and ""qwen-coder"", all of which directly relate to implementing software solutions through code, thus aligning with the criteria for SI relevance."
"mradermacher/Qwen2.5-6x7B-Six-Pack-Coder-Instruct-38B-i1-GGUF","Coding","Software implementation","The model card includes tags explicitly relevant to the Software Implementation phase, such as ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder."" These tags indicate that the model is designed to assist with tasks directly related to implementing software solutions through code."
"mradermacher/Qwen2.5-6x7B-Six-Pack-Coder-Instruct-38B-i1-GGUF","Code generation","Software implementation","The model card explicitly mentions tags such as ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" indicating its relevance to generating and working with code, which aligns with the software implementation phase."
"mradermacher/Qwen2.5-4x7B-Quad-Coder-Instruct-30B-i1-GGUF","Coding","Software implementation","The model card explicitly mentions ""code generation"", ""code"", ""coding"", and ""coder"", which directly align with the implementation-related tasks described in the criteria."
"mradermacher/Qwen2.5-4x7B-Quad-Coder-Instruct-30B-i1-GGUF","Code generation","Software implementation","The model card explicitly mentions that the model is for ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"" which directly supports the implementation phase by assisting with code-related tasks."
"mradermacher/Qwen2.5-2X11B-CODER-Dueling-Wolverines-V2-28B-i1-GGUF","Coding","Software implementation","The model card contains the tags ""programming"", ""code generation"", ""code"", and ""coding,"" which explicitly support the process of implementing a software solution through code, according to the criteria. Therefore, it is relevant to the SI phase."
"mradermacher/Qwen2.5-2X11B-CODER-Dueling-Wolverines-V2-28B-i1-GGUF","Code generation","Software implementation","The model card explicitly lists ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder"" as tags, which directly support the process of implementing a software solution through code."
"mradermacher/Qwen2.5-4x7B-Quad-Coder-Instruct-30B-GGUF","Coding","Software implementation","The model card includes tags such as ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" indicating its relevance to the Software Implementation phase."
"mradermacher/Qwen2.5-4x7B-Quad-Coder-Instruct-30B-GGUF","Code generation","Software implementation","The model card explicitly mentions ""code generation"" and ""coding"" as tags, indicating its applicability to software implementation tasks."
"ramjsss/ithink","Code generation","Software implementation","The model card explicitly mentions that the model delivers high performance across code generation and that it performs well on coding tasks such as LiveCodeBench v6, OJBench, MultiPL-E, SWE-bench, TerminalBench and Aider-Polyglot."
"Mungert/DiffuCoder-7B-cpGRPO-GGUF","Coding","Software implementation","The model card and abstract explicitly mention that DiffuCoder is trained for code generation and that it improves performance on code generation benchmarks. The model's ability to generate code directly supports the software implementation phase."
"Mungert/DiffuCoder-7B-cpGRPO-GGUF","Code generation","Software implementation","The model card and abstract from the arXiv paper explicitly mention that the model, DiffuCoder, is designed for code generation and is trained on a large corpus of code tokens. The model demonstrates code generation capabilities and reduces reliance on AR bias during decoding, which are relevant to software implementation. The paper explicitly details how the model improves performance on code generation benchmarks."
"gabriellarson/OpenReasoning-Nemotron-32B-GGUF","Code generation","Software implementation","The model card explicitly mentions that the OpenReasoning-Nemotron models are post-trained for reasoning about code solution generation and can be used to run inference on coding problems. The provided code example also demonstrates how to use the model for code generation. Furthermore, the evaluation benchmarks include LiveCodeBench and SciCode, suggesting capabilities relevant to software implementation. The citation also refers to advancing data distillation for competitive coding."
"gabriellarson/OpenReasoning-Nemotron-14B-GGUF","Code generation","Software implementation","The model card explicitly mentions code generation and strong scores on LiveCodeBench, which directly supports the process of implementing software through code. The model card also details that the OpenReasoning-Nemotron models can be used to solve coding problems."
"gabriellarson/OpenReasoning-Nemotron-1.5B-GGUF","Code generation","Software implementation","The model card explicitly mentions that the model is post-trained for reasoning about code solution generation and is evaluated on LiveCodeBench and SciCode benchmarks. Additionally, the provided code example demonstrates how to use the model for code generation."
"AlphaGaO/UIGEN-X-8B-GPTQ","Code generation","Software implementation","The model explicitly supports code generation and implementation for UI development across various frameworks and platforms, aligning with the criteria for Software Implementation."
"AlphaGaO/UIGEN-X-8B-GPTQ","Rapid prototyping","Software design","The model card explicitly mentions ""Architecture Planning â Component structure and technology decisions,"" which aligns directly with software architectural design, a core activity of the Software Design phase. The ability to generate UI code across various frameworks and platforms also suggests a capability to translate design specifications into implementable artifacts."
"codelion/qwen2-5-coder-0-5b-instruct-progressive-2000k-lora","Code generation","Software implementation","The model card explicitly mentions several uses cases that directly support software implementation, including large-scale code generation, refactoring suggestions, and cross-file dependency analysis. These tasks fall under the definition of supporting the process of implementing a software solution through code."
"codelion/qwen2-5-coder-0-5b-instruct-progressive-2000k-lora","Vulnerability detection","Software quality assurance","The model card explicitly mentions ""Security vulnerability detection across entire codebases"" and ""Test coverage analysis"" as evaluation tasks, which align with SQA activities like vulnerability detection and testing within the SDLC."
"Bifrost-AI/Mirage-OpenReasoning-Nemotron-7B","Code generation","Software implementation","The model card explicitly states the model is optimized for blockchain coding and smart contract development on the Solana ecosystem and provides an example of code generation. The base model card also indicates strong performance on the LiveCodeBench benchmark."
"unsloth/OpenReasoning-Nemotron-32B","Coding","Software implementation","The model card explicitly mentions the model's capabilities in code generation and its training on datasets like OpenCodeReasoning, making it applicable to the Software Implementation phase. The example provided shows how to use the model for code generation. Furthermore, the arXiv paper mentions building mathematical reasoning models with code execution."
"unsloth/OpenReasoning-Nemotron-32B","Code generation","Software implementation","The model card mentions that the OpenReasoning-Nemotron-32B is a reasoning model that is post-trained for reasoning about math, code and science solution generation. It also includes an example of how to run inference on coding problems, suggesting that it can be used for code generation, which falls under software implementation. The model card also presents the models scores on LiveCodeBench."
"unsloth/Qwen3-235B-A22B-Instruct-2507-GGUF","Code generation","Software implementation","The model card and abstract mention improvements in coding, code generation, and multilingual capabilities, all of which are relevant to the Software Implementation phase. The model has demonstrated strong performance in coding benchmarks and the ability to follow instructions, suggesting it can be useful for code implementation tasks."
"unsloth/Qwen3-235B-A22B-Instruct-2507-FP8","Code generation","Software implementation","The model card explicitly mentions ""coding"" as one of its general capabilities and provides benchmark results for code-related tasks such as LiveCodeBench v6 and MultiPL-E. The abstract also mentions that Qwen3 achieves state-of-the-art results across diverse benchmarks, including tasks in code generation."
"unsloth/Qwen3-235B-A22B-Instruct-2507","Code generation","Software implementation","The model card and abstract explicitly mention that Qwen3 demonstrates strong capabilities in ""code generation"" and ""coding""."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-128k-ctx-i1-GGUF","Coding","Software implementation","The model card explicitly mentions ""code generation,"" ""code,"" ""coding,"" and ""coder,"" all of which directly align with the process of implementing software solutions during the SI phase."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-128k-ctx-i1-GGUF","Code generation","Software implementation","The model card explicitly mentions ""code generation"" and ""coding"", both of which directly support implementing a software solution, therefore relating to the Software Implementation phase."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-V2-128k-ctx-GGUF","Coding","Software implementation","The model card explicitly mentions the tags ""programming,"" ""code generation,"" ""code,"" and ""coding,"" which directly relate to software implementation."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-V2-128k-ctx-GGUF","Code generation","Software implementation","The model card explicitly mentions ""code generation,"" ""coding,"" and ""coder,"" which directly align with the criteria for supporting software implementation."
"mradermacher/Qwen2.5-8x7B-Vee-Eight-Coder-Instruct-53B-128k-ctx-GGUF","Coding","Software implementation","The model card explicitly mentions support for code generation and coding, aligning with the criteria for Software Implementation."
"mradermacher/Qwen2.5-8x7B-Vee-Eight-Coder-Instruct-53B-128k-ctx-GGUF","Code generation","Software implementation","The model card explicitly mentions tags such as ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"", indicating its direct applicability to software implementation tasks involving coding and code generation."
"mradermacher/Qwen2.5-4x7B-Quad-Coder-Instruct-30B-128k-ctx-GGUF","Coding","Software implementation","The model card explicitly mentions that the model is intended for programming, code generation, and coding, which directly aligns with the software implementation phase."
"mradermacher/Qwen2.5-4x7B-Quad-Coder-Instruct-30B-128k-ctx-GGUF","Code generation","Software implementation","The model card explicitly mentions the tags ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" indicating its applicability to software implementation."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-128k-ctx-GGUF","Coding","Software implementation","The model card explicitly mentions ""code generation"", ""code"", ""coding"", and ""coder,"" all of which directly support the implementation of software through code."
"mradermacher/Qwen2.5-Wolverine-CODER-11B-128k-ctx-GGUF","Code generation","Software implementation","The model card explicitly mentions ""code generation,"" ""coding,"" and ""coder,"" which directly align with the implementation of software solutions through code, thus falling under the criteria for relevance to the Software Implementation phase."
"Qwen/Qwen3-235B-A22B-Instruct-2507-FP8","Code generation","Software implementation","The model card explicitly mentions ""coding"" under general capabilities and in the performance section. The arXiv abstract also explicitly mentions ""tasks in code generation"". These statements explicitly support the implementation of software solutions through code."
"Qwen/Qwen3-235B-A22B-Instruct-2507","Code generation","Software implementation","The model card explicitly states ""significant improvements in general capabilities, including... coding"" and ""achieves state-of-the-art results across diverse benchmarks, including tasks in code generation"". Also, the benchmarks table includes coding specific tasks like ""LiveCodeBench v6"", ""MultiPL-E"", and ""Aider-Polyglot"". These all directly support the implementation of software through code."
"mradermacher/Qwen3-Code-Reasoning-Instruct-6B-Brainstorm20x-i1-GGUF","Coding","Software implementation","The model card mentions ""code generation,"" ""coding,"" and ""code,"" which directly align with the activities performed during the Software Implementation phase as it involves writing and generating code. The model is also explicitly described as supporting ""code reasoning,"" which is a valuable asset for the SI phase."
"mradermacher/Qwen3-Code-Reasoning-Instruct-6B-Brainstorm20x-i1-GGUF","Code generation","Software implementation","The model card explicitly mentions tags like ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"", which directly support the creation of software through code, aligning with the definition of the Software Implementation phase."
"DavidAU/Qwen3-Zero-Coder-Reasoning-V2-0.8B","Coding","Software implementation","The model card explicitly mentions that the model is a coder/programming model good for code generation, brainstorming coding ideas, generating draft code fast, and handling complex code requests. This directly supports the process of implementing software solutions through code, aligning with the criteria for relevance to the SI phase."
"DavidAU/Qwen3-Zero-Coder-Reasoning-V2-0.8B","Code generation","Software implementation","The model card explicitly mentions that the model is a ""coder/programming model"" that is ""good for code blocks, brainstorming coding ideas, and generating draft code fast."" It also mentions its ability to handle complex code requests with reasoning and generate code with detailed prompts. These capabilities clearly fall under the criteria for supporting the software implementation phase."
"codys12/OpenReasoning-Nemotron-32B","Coding","Software implementation","The model card explicitly mentions that the model is intended for developers and researchers who work on competitive code problems. It also states that the model was trained on the OpenCodeReasoning dataset, OpenCodeReasoning-II, and includes instruction following and tool calling data. The model card provides examples of how to use the model for code generation using a python programming language. The abstract of the associated arXiv paper describes a method to integrate code execution with long reasoning models through iterative training, generation, and quality filtering."
"codys12/OpenReasoning-Nemotron-32B","Code generation","Software implementation","The model card and associated paper explicitly mention the model's capabilities in code generation and its training on code-related datasets (OpenCodeReasoning). The ""How to use the models?"" section provides an example of code generation and there are code benchmarks in the evaluation datasets. These align with the criteria for relevance to the Software Implementation phase."
"mradermacher/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-192k-ctx-i1-GGUF","Coding","Software implementation","The model card explicitly lists ""code generation"", ""code"", ""coding"", ""coder"", ""python"", ""javascript"", ""dev-ops"", ""jenkins"", ""terraform"", ""scripting"", and ""powershell"" as tags, indicating its applicability to software implementation."
"mradermacher/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-192k-ctx-i1-GGUF","Code generation","Software implementation","The model card explicitly includes tags like ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" indicating its direct relevance to software implementation tasks. It also lists languages like ""python"" and ""javascript,"" and tasks relevant to SI such as ""scripting."""
"mradermacher/Qwen3-Esper3-Reasoning-CODER-Instruct-6B-Brainstorm20x-i1-GGUF","Coding","Software implementation","The model card explicitly includes tags for ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"", which directly align with the criteria for supporting the software implementation process through code. It also includes tags for specific languages and technologies like Python, Javascript, DevOps, Jenkins, Terraform, Scripting, Powershell, Azure, AWS, and GCP which are used in software implementation."
"mradermacher/Qwen3-Esper3-Reasoning-CODER-Instruct-6B-Brainstorm20x-i1-GGUF","Code generation","Software implementation","The model card explicitly mentions ""code generation"", ""coding"", and ""programming"" as tags, indicating its applicability to the Software Implementation phase."
"mradermacher/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-192k-ctx-GGUF","Coding","Software implementation","The model card explicitly mentions support for ""programming"", ""code generation"", ""code"", ""coding"", and is tagged as a ""coder"", which all fall under the criteria for Software Implementation."
"mradermacher/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-192k-ctx-GGUF","Code generation","Software implementation","The model card explicitly includes tags like ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"". These tags indicate the model is designed to assist with software implementation tasks through code-related activities."
"mradermacher/Qwen3-Instruct-F16-6B-Brainstorm20x-i1-GGUF","Coding","Software implementation","The model card includes tags explicitly related to code generation, coding, and coder, which directly align with the activities performed during the Software Implementation phase."
"mradermacher/Qwen3-Instruct-F16-6B-Brainstorm20x-i1-GGUF","Code generation","Software implementation","The model card tags explicitly mention ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" which directly aligns with the software implementation tasks outlined in the criteria."
"mradermacher/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x-i1-GGUF","Coding","Software implementation","The model card contains the tags ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"", which all explicitly fall under the specified criteria for SI, such as code generation."
"mradermacher/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x-i1-GGUF","Code generation","Software implementation","The model card includes tags such as ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" which indicate applicability to the Software Implementation phase."
"mradermacher/Qwen3-Code-Reasoning-Instruct-6B-Brainstorm20x-GGUF","Coding","Software implementation","The model card explicitly mentions ""code generation,"" ""code,"" and ""coding"" which are directly relevant to software implementation. It also mentions ""OpenCodeReasoning"" in the datasets, implying capabilities related to reasoning about code."
"mradermacher/Qwen3-Code-Reasoning-Instruct-6B-Brainstorm20x-GGUF","Code generation","Software implementation","The model card contains tags such as ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"" which all directly support the process of software implementation. The model card also states that it is trained with datasets like ""OpenCodeReasoning"" and ""creative-rubrics-gpt-4.5-o3-R1""."
"mradermacher/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x-GGUF","Coding","Software implementation","The model card explicitly mentions the tags ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder."" These tags directly align with the tasks involved in the Software Implementation phase, which includes generating and writing code to implement software solutions."
"mradermacher/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x-GGUF","Code generation","Software implementation","The model card includes tags such as ""programming"", ""code generation"", ""code"", ""coding"", and ""coder,"" all of which directly relate to implementing software through code."
"mradermacher/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-128k-ctx-GGUF","Coding","Software implementation","The model card contains tags such as ""programming"", ""code generation"", ""code"", ""coding"", ""coder"", ""python"", ""javascript"", ""dev-ops"", and ""scripting"". These tags indicate that the model is applicable to the software implementation phase."
"mradermacher/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-128k-ctx-GGUF","Code generation","Software implementation","The model card contains tags such as ""programming,"" ""code generation,"" ""code,"" ""coding,"" and ""coder,"" which explicitly indicate applicability to software implementation tasks."
"DavidAU/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x","Coding","Software implementation","The model card explicitly mentions that this model improves code generation and unique code solving abilities, which are key tasks within the Software Implementation phase. Furthermore, it is described as a ""coding, architecture, and DevOps reasoning specialist,"" finetuned on DevOps and architecture reasoning and code reasoning. It also provides example inference scripts that generate Terraform configurations, which can be directly applied during software implementation and construction integration."
"DavidAU/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x","Code generation","Software implementation","The model card explicitly mentions that the model improves code generation and has unique code-solving abilities. It is also described as a coding, architecture, and DevOps reasoning specialist and was finetuned on DevOps and architecture reasoning and code reasoning data. The tags include ""code generation,"" ""code,"" ""coding,"" ""coder,"" and lists several coding languages. The model card provides a code example using Terraform. Therefore, the model is applicable to the software implementation phase."
"Mungert/OpenReasoning-Nemotron-32B-GGUF","Coding","Software implementation","The model card explicitly mentions that the OpenReasoning-Nemotron models are post-trained for reasoning about code solution generation. The model card also provides a code generation prompt example and mentions the use of the model for coding problems. It also scores well on LiveCodeBench. This makes the model applicable to the Software Implementation phase."
"Mungert/OpenReasoning-Nemotron-32B-GGUF","Code generation","Software implementation","The model card explicitly mentions that this model is intended for developers working on code problems and that it can be used for code generation. The example code demonstrates how to use the model for code generation. The model also performs well on the LiveCodeBench benchmark."
"prithivMLmods/qwen3-4b-code-reasoning-f32-GGUF","Code generation","Software implementation","The model card explicitly states that the model ""excels at code generation,"" which directly supports the process of implementing a software solution through code, aligning with the criteria for relevance to the SI phase. The model is fine-tuned for coding tasks."
"bullerwins/Qwen3-235B-A22B-Instruct-2507-exl3-5.0bpw","Code generation","Software implementation","The model card mentions ""significant improvements"" in coding capabilities and the arXiv paper states that Qwen3 achieves state-of-the-art results across diverse benchmarks, including tasks in code generation, which falls under software implementation."
"QuantTrio/Qwen3-235B-A22B-Instruct-2507-AWQ","Code generation","Software implementation","The model description mentions significant improvements in coding, code generation, and performance in LiveCodeBench, MultiPL-E, and Aider-Polyglot benchmarks, all relevant to the software implementation phase. The arXiv paper further supports this by explicitly stating that Qwen3 achieves state-of-the-art results in code generation tasks. The code snippet also demonstrates the model's capability in generating content based on input, which is a function that can be used during software implementation."
"mradermacher/Qwen3-6B-Almost-Human-XMEN-X3-X4-X2-X1-Dare-Complex-i1-GGUF","Coding","Software implementation","The model card includes the tags ""programming"", ""code generation"", ""code"", ""coding"", and ""coder"", indicating its direct applicability to software implementation through code-related tasks."
"mradermacher/Qwen3-6B-Almost-Human-XMEN-X3-X4-X2-X1-Dare-Complex-i1-GGUF","Code generation","Software implementation","The model card includes the tags ""programming,"" ""code generation,"" ""code,"" and ""coding,"" which directly relate to the process of implementing software solutions through code."
"digitalassistant-ai/Selling-Assistant-V1","Software quality","Software quality assurance","The model description explicitly mentions ""customer service QA"" as a use case and ""Quality Assurance: Evaluates compliance and interaction quality, providing self-learning optimizations."" This aligns with verifying software system behavior under expected conditions, particularly in the context of customer service interactions and quality management, therefore fitting within the SQA criteria."
"cerebras/GLM-4.6-REAP-218B-A32B-FP8","Code generation","Software implementation","The model card explicitly states that the model maintains near-identical accuracy on code generation and agentic coding tasks, which directly aligns with software implementation. The abstract also mentions code generation."
"greeneggsandham/autocomplete","Code generation","Software implementation","The model card explicitly mentions ""code generation"" and the arXiv abstract confirms this with the phrase ""tasks in code generation"". These tasks directly fall under the umbrella of software implementation. The model card also specifies that it can be used for agentic use and provides an example of calling code interpreter tool."
"juspay/Kwaipilot-KAT-Dev-CPT-LoRA-Adapter-HyperSwitch","Code generation","Software implementation","The model card explicitly states the model is specialized for code understanding, explanation, and generation within the payment processing domain and that it can enhance code understanding and generation. This falls under the criteria of supporting implementation through code generation and understanding."
"remyxai/SpaceQwen3-VL-2B-Thinking","Code generation","Software implementation","The model card and abstract mention that Qwen3, the base model for SpaceQwen3-VL-2B-Thinking, achieves state-of-the-art results in code generation. Code generation is a task directly relevant to software implementation."
"decompute/Qwen2.5-Coder-1.5B-Instruct","Coding","Software implementation","The model card explicitly states that Qwen2.5-Coder has significant improvements in code generation, code reasoning and code fixing. The arXiv abstract also states that the model has been evaluated on code generation, completion, reasoning, and repair. These tasks are all directly relevant to the Software Implementation phase of the SDLC."
